benchmark,seed,comp_res_hpwl,rudy_peak,rudy_top5_mean,flow_restart,wall_seconds
adaptec1,999,573309.1875000006,0.66227382845122,0.08215112110920182,0,6350.397952079773
adaptec1,1000,572752.4821428586,0.6227709103693188,0.08245805656338367,0,6371.744340419769
adaptec1,1001,569346.2790178577,0.6621380546334127,0.08146779822523675,0,6340.534675359726
adaptec1,1002,571354.4464285721,0.7911296473242042,0.08270781455674621,0,6342.629071474075
adaptec1,1003,574745.0267857148,0.5929320772901032,0.082099324132496,0,6337.170096158981
adaptec2,999,2898454.3303570757,0.8370052029817567,0.1493623524987245,0,7355.779168844223
adaptec2,1000,3497725.919642816,1.0349883133531836,0.15150133873635432,0,7304.721475124359
adaptec2,1001,3186059.8660714,0.5760071537443966,0.14450411611257477,0,7313.094691753387
adaptec2,1002,3102378.267857102,0.5935080427199965,0.1396622667575495,0,7332.554671764374
adaptec2,1003,3327742.749999973,0.6209370403764016,0.13467157268452654,0,7368.417291402817
adaptec3,999,5050789.816964292,0.43172653389312227,0.08681803423083204,0,8452.3117146492
adaptec3,1000,5083306.982142866,0.5909073434709798,0.08759414964543459,0,8458.055025100708
adaptec3,1001,5116046.500000009,0.8023324906632152,0.08934914786067534,0,8475.621896982193
adaptec3,1002,5080691.665178587,0.5245037821784938,0.0887551845823277,0,8481.775712490082
adaptec3,1003,5233430.58482144,0.5427715986234385,0.08629906678357518,0,8454.62063241005
adaptec4,999,4395695.138392832,0.3854815242341892,0.07492247829530006,0,13209.919894695282
adaptec4,1000,4395060.0089285495,0.4108206229297147,0.0769966461864736,0,13139.631891965866
adaptec4,1001,4361507.999999972,0.3854801673113058,0.07692652728189125,0,13463.916197538376
adaptec4,1002,4352363.803571407,0.38145761943283607,0.07544803087208828,0,13225.955397129059
adaptec4,1003,4364242.392857125,0.41039282765715707,0.07546023768291367,0,13189.551206827164
bigblue1,999,214469.69866071493,0.13727309280301253,0.030780256912651717,0,8058.46341252327
bigblue1,1000,207866.8169642865,0.13216554971381597,0.03041546745338144,0,8060.402367115021
bigblue1,1001,212090.70758928638,0.15813425207127008,0.030454320567025194,0,8273.423471689224
bigblue1,1002,214997.40625000073,0.13091644984531467,0.031142141127286103,0,8085.425513267517
bigblue1,1003,213796.36160714354,0.13091356696927842,0.030790263817624522,0,8115.9294629096985
bigblue3,999,3051695.562499987,0.8714317157495348,0.07186494732895682,0,12951.084128856659
bigblue3,1000,3132617.1875000214,0.8171566800690084,0.07568839886020824,0,12956.862884998322
bigblue3,1001,3068083.794642853,0.8369918647219189,0.07281735775645196,1,13016.134459733963
bigblue3,1002,3168206.642857168,0.7483525497303434,0.07686271588708538,1,13058.18627667427
bigblue3,1003,3202271.1249999986,0.8177506846364266,0.07594764552212248,0,13172.954290151596
bigblue2,999,803364.9017857114,0.07780963596672798,0.021410906757247546,0,13652.503107070923
bigblue2,1000,809913.2767857114,0.07661053444104213,0.021530787727524228,0,13623.45105266571
bigblue2,1001,812152.2053571405,0.07558738281576169,0.021867145451996115,0,13540.913063049316
bigblue2,1002,798184.5267857121,0.06578700218470482,0.020866354581770406,0,13640.08304643631
bigblue2,1003,795827.1785714274,0.06381472006142255,0.021769136803363846,0,13873.296376943588
bigblue4,999,5273350.736607229,0.3965547354979349,0.07959348795882767,0,13573.362878322601
bigblue4,1000,5290956.272321522,0.394826501247338,0.07904805377390364,0,13485.297630310059
bigblue4,1001,5332147.066964443,0.672188859658724,0.07866824185180508,0,13517.968453884125
bigblue4,1002,5388591.325892967,0.39579445002612906,0.07996925169726113,0,13499.70161819458
bigblue4,1003,5388356.522321547,0.42622083460596805,0.0797305545310268,0,13634.818601846695
ariane,999,713411.4949396441,98.37673323097458,30.780508737527324,0,13974.585387706757
ariane,1000,724163.2768743064,94.91701794908249,32.00345484653825,0,14023.514234542847
ariane,1001,709878.9900027014,119.30189801248908,39.779381010758804,0,13999.663819551468
ariane,1002,732406.7551878243,96.20858910411282,39.705345019498566,0,14004.231676578522
ariane,1003,734262.0305950347,85.66515569916113,37.85232814043505,0,14006.649985551834
superblue1,999,107198097.32142848,0.0002532277881466874,8.511687611264894e-06,0,381.929584980011
superblue1,1000,106536547.85714269,0.00023742109304044452,8.442151882565422e-06,0,376.1597955226898
superblue1,1001,106504193.57142851,0.0002202344845340759,8.467701944518086e-06,0,381.5549886226654
superblue1,1002,137809984.64285722,0.00022233348082740986,1.0340672113708179e-05,0,376.14517307281494
superblue1,1003,106484813.57142846,0.00022556196416292478,8.445412198112888e-06,0,375.75065517425537
superblue3,999,255543581.42857143,0.0006250770678039865,1.5554783696414425e-05,0,994.9349701404572
superblue3,1000,255566311.42857143,0.0006251193030492992,1.554135319135165e-05,0,986.0469286441803
superblue3,1001,255474731.42857188,0.0003914039105114327,1.5511408736958458e-05,0,990.7876183986664
superblue3,1002,253660785.7142858,0.0005594786152280045,1.5339472817946315e-05,0,996.012855052948
superblue3,1003,255482157.142857,0.0005572766059429763,1.5717132241603144e-05,0,1003.1802999973297
superblue4,999,157438353.75,0.0008655951811601043,2.8988526404048773e-05,0,717.5456268787384
superblue4,1000,157494351.25,0.0005644530134746915,2.8975974574057204e-05,0,703.733805179596
superblue4,1001,157658693.75,0.000865595181160104,2.9028009405451204e-05,0,707.361006975174
superblue4,1002,157611091.25,0.0005644530134746915,2.9023580738694916e-05,0,703.8435759544373
superblue4,1003,157509691.25,0.0005438277400961828,2.9008034385058227e-05,0,707.6802499294281
superblue5,999,722174321.6071441,0.0006025659640961368,4.2347275591232994e-05,0,2082.2275841236115
superblue5,1000,721367009.9107144,0.0006029675354140027,4.233503153083326e-05,0,2072.4009606838226
superblue5,1001,723534037.9464281,0.0005934205143226381,4.258326403119283e-05,0,2085.787398815155
superblue5,1002,725536644.732143,0.0006146904725794232,4.280818056659639e-05,0,2088.0796740055084
superblue5,1003,719069431.5178561,0.0006029261562705264,4.219494784824528e-05,0,2091.0431621074677
superblue7,999,239107235.71428552,0.0008082388343679789,3.494178886563499e-05,0,1117.8650710582733
superblue7,1000,240412304.99999988,0.0008084272177802221,3.5348816703606356e-05,0,1108.7799685001373
superblue7,1001,243017707.14285725,0.0008187022200757986,3.538470518074808e-05,0,1102.1664876937866
superblue7,1002,239081137.85714245,0.0008034964491442336,3.500891644541458e-05,0,1106.902958393097
superblue7,1003,240016697.85714275,0.0006621784058336013,3.517794240716572e-05,0,1101.3803117275238
superblue10,999,88736376.87500021,0.0002443169428503287,7.57741175276877e-06,0,189.7735538482666
superblue10,1000,88515878.48214297,0.00026743335381509796,7.565689990728857e-06,0,194.1503233909607
superblue10,1001,88846626.0714286,0.00026251078829941227,7.592803464907069e-06,0,187.67142248153687
superblue10,1002,88720123.39285704,0.0002515314881095262,7.579243098169418e-06,0,184.6999032497406
superblue10,1003,88699627.14285722,0.00026251078829941303,7.579243098169591e-06,0,185.18476557731628
superblue16,999,235306405.89285716,0.00033232679646956535,4.0445877459058514e-05,0,1685.6120429039001
superblue16,1000,206383249.82142848,0.0003049180341605366,3.636241714469779e-05,0,1692.1682393550873
superblue16,1001,201744838.6607143,0.0003509590695373787,3.559299599305634e-05,0,1706.2668318748474
superblue16,1002,206632569.5535714,0.0003509590695373757,3.639834566014996e-05,0,1699.794016122818
superblue16,1003,206469638.83928552,0.0002936014303738832,3.635288939891228e-05,0,1681.516948223114
superblue18,999,82720814.2857143,0.0003170564516073208,2.1633297708805383e-05,0,557.1775612831116
superblue18,1000,81173911.5178571,0.00043084837402529886,2.135938727961089e-05,0,553.9424715042114
superblue18,1001,81996269.01785713,0.00040708810144869146,2.143763395914249e-05,0,551.5667269229889
superblue18,1002,83102955.53571443,0.00030059246242601417,2.1683794987308838e-05,0,563.477294921875
superblue18,1003,83152863.75000004,0.0003155171418626771,2.17106506427022e-05,0,555.2105100154877
